country,code,2012,2013,2014,2015,2016,direction
Turkey,TUR,267063,609938,1587374,2541352,2869379,in
Germany,DEU,589737,187567,216973,316115,669408,in
France,FRA,217865,232487,252264,273126,304507,in
Sweden,SWE,92872,114175,142207,169520,230103,in
Russian Federation,RUS,3178,3458,235750,314507,228936,in
Italy,ITA,64779,76264,93715,118047,147302,in
United Kingdom,GBR,149799,126055,117234,123067,118913,in
Netherlands,NLD,71909,74707,82494,88536,101702,in
Austria,AUT,51730,55598,60747,72216,93182,in
Switzerland,CHE,50747,52464,62620,73336,82608,in
Norway,NOR,42822,46106,47043,50389,59452,in
Greece,GRC,2100,3485,10304,24838,46381,in
Belgium,BEL,22024,25629,29179,35314,42128,in
Serbia,SRB,66370,57083,43751,35332,36508,in
Denmark,DNK,11814,13170,17785,27326,33436,in
Finland,FIN,9919,11252,11798,12703,18302,in
Armenia,ARM,2854,13732,17640,19319,17873,in
Bulgaria,BGR,2288,4320,11046,16557,17774,in
Spain,ESP,4510,4637,5798,6457,12943,in
Poland,POL,15911,16438,15741,14065,11703,in
Cyprus,CYP,3631,3883,5126,7067,8433,in
Malta,MLT,8248,9906,6095,7075,7901,in
Ireland,IRL,6327,6001,5853,6125,5655,in
Bosnia and Herzegovina,BIH,6903,6926,6890,6798,5256,in
Hungary,HUN,4054,2440,2867,4393,4691,in
Czech Republic,CZE,2805,2979,3137,3644,3580,in
Ukraine,UKR,2807,2968,3219,3273,3252,in
Romania,ROU,1262,1770,2182,2598,2855,in
Georgia,GEO,469,847,857,1979,2107,in
Luxembourg,LUX,2910,920,1108,1332,1995,in
Belarus,BLR,576,604,925,1809,1632,in
Azerbaijan,AZE,1468,1380,1299,1278,1183,in
Portugal,PRT,483,598,699,853,1129,in
Lithuania,LTU,871,916,1007,1093,1064,in
Montenegro,MNE,11198,8476,6462,1771,970,in
Slovak Republic,SVK,662,701,799,820,955,in
Kazakhstan,KAZ,564,584,633,708,647,in
"Macedonia, FYR",MKD,1077,982,883,701,629,in
Slovenia,SVN,176,213,257,292,439,in
Moldova,MDA,185,250,335,446,394,in
Latvia,LVA,125,160,183,208,325,in
Estonia,EST,63,70,90,168,287,in
Croatia,HRV,724,684,726,522,255,in
Liechtenstein,LIE,102,97,103,150,156,in
Iceland,ISL,60,79,99,179,125,in
Albania,ALB,86,93,104,104,111,in
Monaco,MCO,37,34,33,32,32,in